State,State_Tax_Rate,Avg_Local_Tax_Rate,Combine_ Rate
AL,0.04,0.0501,0.0901
AK,0,0.0176,0.0176
AZ,0.056,0.0265,0.0825
AR,0.065,0.028,0.093
CA,0.0725,0.01,0.0825
CO,0.029,0.046,0.075
CT,0.0635,0,0.0635
DE,0,0,0
FL,0.06,0.008,0.068
GA,0.04,0.03,0.07
HI,0.04,0.0035,0.0435
ID,0.06,0.0003,0.0603
IL,0.0625,0.0239,0.0864
IN,0.07,0,0.07
IA,0.06,0.008,0.068
KS,0.065,0.0212,0.0862
KY,0.06,0,0.06
LA,0.05,0.0498,0.0998
ME,0.055,0,0.055
MD,0.06,0,0.06
MA,0.0625,0,0.0625
MI,0.06,0,0.06
MN,0.06875,0.0042,0.073
MS,0.07,0.0007,0.0707
MO,0.04225,0.0366,0.0789
MT,0,0,0
NE,0.055,0.0139,0.0689
NV,0.0685,0.0113,0.0798
NH,0,0,0
NJ,0.06875,-0.0003,0.0685
NM,0.05125,0.0243,0.0755
NY,0.04,0.0449,0.0849
NC,0.0475,0.0215,0.069
ND,0.05,0.0178,0.0678
OH,0.0575,0.0139,0.0714
OK,0.045,0.0436,0.0886
OR,0,0,0
PA,0.06,0.0034,0.0634
RI,0.07,0,0.07
SC,0.06,0.0122,0.0722
SD,0.045,0.0189,0.0639
TN,0.07,0.0246,0.0946
TX,0.0625,0.0194,0.0819
UT,0.0595,0.0081,0.0676
VT,0.06,0.0018,0.0618
VA,0.053,0.0033,0.0563
WA,0.065,0.0242,0.0892
WV,0.06,0.0029,0.0629
WI,0.05,0.0042,0.0542
WY,0.04,0.014,0.054
DC,0.0575,0,0.0575
