curr,rate,symbol,label
AUD,1.2602,&#x24;,AUD
BGN,1.6408,&#x43b;&#x432;,BGN
BRL,3.1395,&#x52;&#x24;,BRL
CAD,1.2441,&#x24;,CAD
CHF,0.95982,&#x43;&#x48;&#x46;,CHF
CNY,6.5591,&#xa5;,CNY
CZK,21.877,&#x4b;&#x10d;,CZK
DKK,6.2398,&#x6b;&#x72;,DKK
EUR,0.83893,&#x20ac;,EUR
GBP,0.77244,&#xa3;,GBP
HKD,7.8248,&#x24;,HKD
HRK,6.2261,&#x6b;&#x6e;,HRK
HUF,255.95,&#x46;&#x74;,HUF
IDR,13318,&#x52;&#x70;,IDR
ILS,3.5737,&#x20aa;,ILS
INR,64.034,&#x20B9;,INR
JPY,110.14,&#xa5;,JPY
KRW,1120.3,&#x20a9;,KRW
MXN,17.836,&#x24;,MXN
MYR,4.2705,&#x52;&#x4d;,MYR
NOK,7.7647,&#x6b;&#x72;,NOK
NZD,1.3958,&#x24;,NZD
PHP,51.091,&#x20b1;,PHP
PLN,3.5576,&#x7a;&#x142;,PLN
RON,3.856,&#x6c;&#x65;&#x69;,RON
RUB,57.737,&#x20bd;,RUB
SEK,7.9512,&#x6b;&#x72;,SEK
USD,1,&#x24;,USD
SGD,1.3545,&#x24;,SGD
THB,33.17,&#xe3f;,THB
ZAR,12.935,&#x52;,ZAR
